Wall time,Step,Value
1748597157.8276842,2048,512.0
1748597187.8594553,4096,512.0
1748597217.584497,6144,512.0
1748597247.916961,8255,458.6111145019531
1748597278.305497,10345,449.7826232910156
1748597312.97424,12674,452.6428527832031
1748597346.6306896,15060,456.3636474609375
1748597382.4586263,17613,463.5
1748597414.414534,19850,461.6278991699219
1748597444.7147763,21960,448.16326904296875
1748597478.6073163,24341,450.7592468261719
1748597508.1209793,26425,447.88134765625
1748597538.6764543,28551,446.109375
1748597570.5868824,30802,446.4057922363281
1748597601.9961946,33002,445.97296142578125
1748597632.9867127,35147,444.89874267578125
1748597665.6698298,37434,435.2790832519531
1748597696.331209,39599,425.7956848144531
1748597728.8945165,41914,427.6938781738281
1748597762.053691,44241,416.80999755859375
1748597794.4115493,46521,403.7699890136719
1748597825.3078413,48677,404.2200012207031
1748597859.4672363,51122,394.7200012207031
1748597894.44824,53668,386.0799865722656
1748597927.5969727,56018,378.92999267578125
1748597959.1235533,58217,373.1199951171875
1748597991.1854997,60476,376.7099914550781
1748598021.0594718,62578,376.8900146484375
1748598052.4836037,64847,355.80999755859375
1748598084.717439,67094,347.55999755859375
1748598117.571791,69389,330.04998779296875
1748598152.5420027,71871,333.3900146484375
1748598186.05858,74240,323.260009765625
1748598217.4279275,76479,332.6199951171875
1748598250.5016496,78642,323.6000061035156
1748598285.2674298,81091,313.55999755859375
1748598319.526754,83545,320.0199890136719
1748598349.080279,85677,312.989990234375
1748598381.6444378,88006,306.2200012207031
1748598411.763167,90133,300.3800048828125
1748598443.4378042,92418,291.7699890136719
1748598476.358853,94803,290.5
1748598507.9411786,97090,289.69000244140625
1748598537.6331012,99187,284.2099914550781
1748598569.2529268,101424,271.8399963378906
1748598601.848752,103733,258.9700012207031
1748598632.38288,105897,251.55999755859375
1748598661.7338176,107963,243.6300048828125
1748598691.3891249,110040,234.05999755859375
1748598723.1111283,112311,221.77999877929688
1748598757.2728944,114767,223.49000549316406
1748598788.2004235,116965,221.6199951171875
1748598818.8033423,119127,219.0399932861328
1748598852.4638426,121570,225.35000610351562
1748598883.046763,123736,223.1199951171875
1748598913.1019077,125860,228.1999969482422
1748598943.7679627,128029,227.75
1748598975.349451,130305,223.4199981689453
1748599006.5390072,132409,213.6300048828125
1748599036.6218395,134556,210.3800048828125
1748599066.4245148,136747,174.5500030517578
1748599099.9828022,139108,157.9199981689453
1748599129.4873595,141176,161.8699951171875
1748599159.7790427,143288,164.4600067138672
1748599189.892672,145348,156.25999450683594
1748599221.2360399,147530,156.3300018310547
1748599253.7720644,149745,149.50999450683594
1748599284.056922,151825,161.6999969482422
1748599317.1528852,154156,163.92999267578125
