Wall time,Step,Value
1748657134.7266974,2048,512.0
1748657167.4001136,4096,512.0
1748657199.6798134,6144,512.0
1748657235.334784,8476,470.8888854980469
1748657268.1769881,10555,458.9130554199219
1748657305.9206383,13060,466.4285583496094
1748657341.1866913,15372,465.81817626953125
1748657376.4731104,17679,465.2368469238281
1748657414.5027242,20222,449.3777770996094
1748657447.8854244,22338,438.0
1748657483.8322031,24608,417.0847473144531
1748657522.4136171,27190,411.9696960449219
1748657560.426431,29710,401.4864807128906
1748657595.8653388,32011,400.13751220703125
1748657629.3631022,34100,391.9540100097656
1748657666.091444,36233,389.6021423339844
1748657702.7772093,38355,378.42999267578125
1748657739.7529004,40795,351.6300048828125
1748657777.4380083,43318,348.1099853515625
1748657814.3478107,45672,331.239990234375
1748657851.6283176,48059,319.1600036621094
1748657884.3997512,50138,309.1300048828125
1748657921.1808457,52536,307.1000061035156
1748657955.4412215,54677,304.04998779296875
1748657990.3169188,56892,302.1400146484375
1748658024.959155,58986,304.5
1748658058.593943,61091,305.2200012207031
1748658094.7348726,63235,301.29998779296875
1748658131.5897582,65457,301.1300048828125
1748658166.9992266,67557,302.8699951171875
1748658204.7484534,69850,298.010009765625
1748658240.9346728,72110,305.1700134277344
1748658277.6706848,74535,300.0400085449219
1748658314.459819,76963,305.7900085449219
1748658351.5591233,79435,304.760009765625
1748658386.6159103,81689,301.45001220703125
1748658420.083803,83834,302.6499938964844
1748658458.0769901,86363,300.6700134277344
1748658491.630095,88503,289.4800109863281
1748658525.2224486,90638,272.5899963378906
1748658559.5076027,92838,270.07000732421875
1748658592.7630298,94954,265.8399963378906
1748658630.8021514,97496,263.95001220703125
1748658664.8696606,99694,259.8299865722656
1748658699.325555,101857,257.3699951171875
1748658735.5830307,104174,257.6300048828125
1748658769.0036979,106261,228.52999877929688
1748658803.8274145,108459,229.8300018310547
1748658837.3274872,110587,222.55999755859375
1748658872.094756,112808,227.72000122070312
1748658907.2911115,115058,221.9600067138672
1748658940.4099188,117130,219.74000549316406
1748658974.979338,119309,208.8300018310547
1748659009.704132,121530,200.8000030517578
1748659045.7528348,123866,192.63999938964844
1748659081.1759064,126138,196.8800048828125
1748659117.0931957,128427,194.2899932861328
1748659150.4675174,130513,176.02000427246094
1748659185.1454444,132707,162.85000610351562
1748659220.215341,134943,166.52000427246094
1748659254.797478,137153,165.24000549316406
1748659289.2396984,139322,162.4199981689453
1748659325.131065,141613,146.47999572753906
1748659359.3370042,143774,142.4199981689453
1748659392.563102,145860,145.3000030517578
1748659426.6148214,147997,148.7899932861328
1748659461.054928,150191,128.0399932861328
1748659494.3421712,152262,127.72000122070312
1748659528.1239161,154383,137.4600067138672
1748659571.4531574,157359,147.72999572753906
1748659604.639288,159426,141.97000122070312
1748659638.5048437,161553,129.33999633789062
1748659674.8030362,163889,128.6999969482422
1748659708.2877803,165987,130.8699951171875
1748659742.4021168,168166,127.87999725341797
1748659778.8467264,170539,116.31999969482422
1748659812.0732117,172619,128.1199951171875
1748659846.2716515,174777,136.52999877929688
1748659881.318214,177013,143.86000061035156
1748659919.4172716,179514,150.72000122070312
1748659955.1371644,181811,151.3300018310547
1748659989.0023186,183945,153.2100067138672
1748660022.5591726,186047,156.5500030517578
1748660056.437065,188189,152.07000732421875
1748660089.8459547,190294,142.97999572753906
1748660125.2397745,192562,145.38999938964844
1748660161.3577678,194912,144.75999450683594
1748660196.1287713,197110,143.9600067138672
1748660230.5764706,199268,140.97999572753906
1748660265.44516,201481,140.00999450683594
1748660300.080126,203670,141.97999572753906
1748660338.691587,206213,135.44000244140625
1748660372.2394764,208315,134.02999877929688
1748660409.3449018,210709,129.8699951171875
1748660442.697349,212769,128.8800048828125
1748660477.296009,214956,122.16000366210938
1748660511.1292024,217079,119.43000030517578
1748660547.8128865,219439,111.23999786376953
1748660581.1592488,221524,121.2699966430664
1748660615.6490715,223690,114.41000366210938
1748660650.0289655,225849,114.6500015258789
1748660684.450649,228047,121.08000183105469
1748660718.196724,230209,133.22000122070312
1748660751.5420923,232297,139.19000244140625
1748660786.6654627,234549,135.36000061035156
1748660822.0406835,236766,136.64999389648438
1748660855.6274939,238879,131.6300048828125
1748660889.306562,240980,136.75999450683594
1748660922.4300072,243034,133.3699951171875
1748660958.6975944,245166,115.87000274658203
1748660993.3751106,247236,112.36000061035156
1748661031.3221354,249541,119.05999755859375
1748661068.6646886,251801,117.81999969482422
1748661106.5771964,254110,108.08000183105469
1748661141.520217,256223,110.30000305175781
