Wall time,Step,Value
1748531229.3695698,2048,512.0
1748531285.6498878,4096,512.0
1748531341.0542257,6144,512.0
1748531397.829858,8192,512.0
1748531452.9237275,10240,466.3809509277344
1748531508.6597822,12288,473.67999267578125
1748531564.1510527,14336,478.96551513671875
1748531618.819998,16384,482.9696960449219
1748531674.0650477,18432,483.868408203125
1748531730.2890358,20480,483.5952453613281
1748531785.2702665,22528,486.0652160644531
1748531839.8837473,24576,488.1400146484375
1748531894.9175286,26624,489.90740966796875
1748531950.4089348,28672,491.4310302734375
1748532005.639554,30720,492.758056640625
1748532060.7319343,32768,487.13433837890625
1748532116.208165,34816,488.53521728515625
1748532171.4099548,36864,483.75
1748532226.5494545,38912,485.1625061035156
1748532282.185618,40960,486.44049072265625
1748532337.4938788,43008,480.9550476074219
1748532393.0280733,45056,480.3656005859375
1748532448.2965276,47104,481.67010498046875
1748532503.4237688,49152,482.5799865722656
1748532558.8351786,51200,482.5799865722656
1748532614.8196766,53248,473.010009765625
1748532670.7410922,55296,462.010009765625
1748532725.8372624,57344,471.5899963378906
1748532781.5138435,59392,471.5899963378906
1748532841.384135,61440,471.5899963378906
1748532896.1939595,63488,471.5899963378906
1748532951.2138216,65536,471.5899963378906
1748533006.5876186,67584,473.94000244140625
1748533061.7932224,69632,469.1000061035156
1748533116.9702823,71680,467.3999938964844
1748533172.6154752,73728,465.1499938964844
1748533228.235202,75776,465.1499938964844
1748533284.3006713,77824,465.1499938964844
1748533339.9496727,79872,469.8800048828125
1748533395.916925,81920,469.5899963378906
1748533453.0867367,83968,469.5899963378906
1748533512.8222032,86016,474.3999938964844
1748533568.215169,88064,473.45001220703125
1748533623.8288746,90112,479.3299865722656
1748533680.6189303,92160,481.3999938964844
1748533735.9242954,94208,481.3999938964844
1748533790.9869628,96256,469.45001220703125
1748533847.8416333,98304,469.45001220703125
1748533905.16053,100352,474.2099914550781
