Wall time,Step,Value
1748677330.632953,2048,512.0
1748677363.644763,4410,441.0
1748677392.9600148,6458,461.28570556640625
1748677424.9303102,8749,416.6190490722656
1748677454.4905047,10797,431.8800048828125
1748677489.2750645,13314,429.4838562011719
1748677520.782377,15468,429.6666564941406
1748677551.6381214,17640,430.243896484375
1748677585.9965532,20139,419.5625
1748677615.3816586,22187,426.6730651855469
1748677650.8007627,24728,426.3448181152344
1748677680.0705905,26776,431.8709716796875
1748677709.244659,28824,436.7272644042969
1748677738.4476533,30872,441.028564453125
1748677767.6454377,32920,444.8648681640625
1748677796.6105535,34968,448.30767822265625
1748677828.5483022,37252,448.81927490234375
1748677857.637137,39300,451.7241516113281
1748677888.434638,41482,450.89129638671875
1748677917.9238977,43530,453.4375
1748677947.8324566,45605,450.92999267578125
1748677978.4217527,47770,450.0400085449219
1748678012.2637796,50215,442.69000244140625
1748678047.2177007,52790,440.4100036621094
1748678076.761539,54876,423.6000061035156
1748678108.8616488,57180,427.3599853515625
1748678140.4572992,59442,423.1400146484375
1748678172.3672273,61726,428.4700012207031
1748678202.6071863,63853,421.7799987792969
1748678233.4532177,66023,422.6600036621094
1748678264.8608427,68262,409.739990234375
1748678294.2661202,70341,404.92999267578125
1748678327.8845088,72787,398.6700134277344
1748678358.6492388,74957,382.1700134277344
1748678389.1731932,77143,371.9700012207031
1748678421.5249143,79481,364.6300048828125
1748678455.0677185,81929,363.239990234375
1748678487.3478239,84253,364.489990234375
1748678519.625804,86588,361.5
1748678553.1248367,89028,348.2900085449219
1748678588.154904,91572,333.67999267578125
1748678620.04623,93870,331.67999267578125
1748678652.4001617,96203,330.30999755859375
1748678684.504357,98511,324.8800048828125
1748678716.9276707,100706,319.010009765625
1748678751.5577414,103116,303.2900085449219
1748678786.0587716,105625,314.4100036621094
1748678816.2664213,107762,310.1000061035156
1748678846.780938,109914,294.0899963378906
1748678879.4846034,112253,277.6099853515625
1748678909.1117904,114334,275.92999267578125
1748678939.4283607,116490,282.8399963378906
1748678969.978451,118651,285.2099914550781
