Wall time,Step,Value
1748587374.866208,2048,512.0
1748587403.5609043,4096,512.0
1748587432.6109822,6144,512.0
1748587462.4516718,8192,512.0
1748587493.0176003,10305,468.4090881347656
1748587522.8683436,12353,475.1153869628906
1748587552.8512745,14401,480.0333251953125
1748587584.2907264,16533,472.3714294433594
1748587614.4492865,18581,476.4358825683594
1748587645.5071423,20629,479.7441711425781
1748587675.8677902,22677,482.4893493652344
1748587706.2282162,24756,476.0769348144531
1748587741.2831938,27282,478.631591796875
1748587771.6433678,29363,473.5967712402344
1748587803.3787868,31562,464.1470642089844
1748587834.0352645,33641,460.8356018066406
1748587866.6182537,35850,453.7974548339844
1748587897.650983,37966,446.6588134765625
1748587932.4044812,40449,439.6630554199219
1748587963.0879235,42538,438.53607177734375
1748587995.2390249,44751,421.9100036621094
1748588027.6657512,47010,418.8999938964844
1748588064.529119,49477,412.8500061035156
1748588099.0592265,51925,421.32000732421875
1748588128.3440943,53973,421.32000732421875
1748588162.3515522,56377,419.760009765625
1748588191.9762921,58429,418.9599914550781
1748588225.1375022,60759,416.6600036621094
1748588256.1162717,62944,407.7900085449219
1748588289.1774757,65427,406.7099914550781
1748588320.0017707,67571,397.7699890136719
1748588351.825723,69828,399.2099914550781
1748588385.4030492,72201,380.4800109863281
1748588415.977088,74335,379.7300109863281
1748588447.0920424,76509,380.30999755859375
1748588478.9966044,78760,388.2300109863281
1748588508.0338566,80832,388.05999755859375
1748588542.3326318,83375,392.1499938964844
1748588574.23798,85604,385.94000244140625
1748588605.0455413,87709,378.32000732421875
1748588640.538757,90052,365.9100036621094
1748588675.013156,92323,359.4599914550781
1748588708.8455656,94551,337.9200134277344
1748588745.128487,96988,315.6099853515625
1748588776.3631222,99036,309.5299987792969
1748588808.7690613,101150,303.010009765625
1748588841.288949,103291,315.1400146484375
1748588873.267353,105348,310.1300048828125
1748588908.5367966,107709,312.0
1748588943.287388,110017,312.57000732421875
1748588975.9560938,112176,296.8599853515625
1748589008.1441927,114281,303.489990234375
1748589041.5978892,116501,295.1600036621094
1748589075.980195,118788,300.8599853515625
1748589108.944036,120929,296.29998779296875
1748589142.2157989,123174,300.2900085449219
1748589179.4641016,125692,305.2099914550781
1748589217.0104828,128185,317.0899963378906
1748589249.5867236,130294,317.0400085449219
1748589283.2130392,132430,322.489990234375
1748589315.7749975,134578,324.3599853515625
1748589347.6890433,136627,322.69000244140625
1748589382.264527,138898,320.8299865722656
1748589416.2508001,141132,311.1499938964844
1748589450.1752872,143336,305.5199890136719
1748589482.204399,145400,297.54998779296875
1748589516.6487381,147560,287.7200012207031
1748589547.9937153,149657,276.489990234375
1748589581.8646214,151967,271.9800109863281
1748589612.6939678,154033,265.6300048828125
1748589643.6595817,156255,255.22000122070312
1748589674.5958,158379,246.5399932861328
1748589705.835286,160509,216.11000061035156
1748589741.0195367,162996,199.99000549316406
1748589774.8407452,165212,189.60000610351562
1748589807.3023736,167431,177.74000549316406
1748589838.5912862,169554,169.3300018310547
1748589869.5022178,171621,156.6699981689453
1748589902.876099,173883,145.11000061035156
1748589934.0745707,176014,147.07000732421875
1748589965.0615187,178121,142.61000061035156
1748589999.9033766,180512,147.35000610351562
1748590032.5324662,182720,135.57000732421875
1748590066.0584383,184923,136.1300048828125
1748590098.811025,187110,142.57000732421875
1748590131.2234454,189264,140.4199981689453
1748590162.1740777,191350,137.3800048828125
1748590192.6027591,193455,139.27000427246094
1748590223.2288215,195555,132.3699951171875
1748590254.7083893,197728,130.44000244140625
1748590287.610354,200030,124.19999694824219
1748590319.3404548,202269,134.22000122070312
1748590351.6210897,204503,124.0199966430664
1748590385.5031083,206672,121.7300033569336
1748590420.0037587,208874,130.88999938964844
1748590453.75796,211090,133.6199951171875
1748590485.596698,213167,138.44000244140625
1748590518.560385,215352,139.1699981689453
1748590550.2535534,217438,139.83999633789062
1748590582.0602844,219544,137.91000366210938
1748590615.7347538,221771,138.64999389648438
1748590647.4690523,223864,133.24000549316406
1748590679.8471794,226065,128.97999572753906
1748590711.166827,228287,125.26000213623047
1748590740.840345,230365,129.27000427246094
1748590771.3805325,232528,134.6999969482422
1748590803.8680966,234815,136.8699951171875
1748590833.657671,236905,125.66000366210938
1748590863.462428,238995,118.8499984741211
1748590893.2739918,241073,110.81999969482422
1748590923.6898499,243212,104.26000213623047
1748590957.4748795,245640,103.2300033569336
1748590989.1449409,247887,111.19000244140625
1748591020.4159799,250096,115.31999969482422
1748591050.0914009,252160,107.5999984741211
1748591081.3420033,254354,108.12999725341797
1748591112.9922383,256595,99.08999633789062
1748591143.588179,258736,85.33999633789062
1748591173.8426437,260850,90.41000366210938
1748591201.7448735,262934,92.61000061035156
1748591230.953947,265068,97.5199966430664
1748591260.876369,267123,104.88999938964844
1748591290.2627776,269183,110.0199966430664
1748591321.0044513,271346,106.22000122070312
1748591353.1778214,273640,108.25
1748591388.2321055,276179,114.2699966430664
1748591417.189137,278230,117.11000061035156
1748591447.7434254,280401,115.19999694824219
1748591480.6140647,282719,121.05999755859375
1748591513.5354943,284952,121.01000213623047
1748591545.7305174,287085,115.16999816894531
1748591578.966653,289253,104.0199966430664
1748591611.964091,291525,98.18000030517578
1748591644.4647748,293777,101.20999908447266
1748591675.3858838,295864,102.76000213623047
1748591706.5269442,297929,99.94000244140625
1748591739.7586427,300133,106.30999755859375
1748591771.118798,302191,106.66000366210938
1748591802.5619602,304277,103.69000244140625
1748591834.219776,306437,103.08999633789062
1748591865.7115865,308554,107.12000274658203
1748591896.5067046,310613,104.80000305175781
1748591928.26573,312766,96.98999786376953
1748591962.0125349,314847,101.6500015258789
1748591998.4014492,317013,96.0999984741211
1748592030.4765592,319114,103.3499984741211
1748592063.0259612,321209,110.9800033569336
1748592095.9021606,323358,109.05999755859375
1748592127.739509,325416,105.69000244140625
1748592162.8534718,327676,106.62999725341797
1748592196.9578035,329875,97.68000030517578
1748592230.3166718,332019,94.08000183105469
1748592265.2177403,334299,99.37000274658203
1748592299.7387838,336631,98.08999633789062
1748592331.6199362,338798,103.45999908447266
1748592365.6588862,341161,103.12999725341797
1748592396.3547342,343252,103.88999938964844
1748592425.1915514,345314,103.56999969482422
1748592456.7418745,347579,110.9000015258789
1748592487.2118983,349701,115.55999755859375
1748592517.780169,351831,122.62000274658203
1748592548.9303892,353989,122.31999969482422
1748592579.718963,356130,128.77999877929688
1748592613.1858082,358283,128.1699981689453
1748592646.0597603,360374,125.30999755859375
1748592679.0218382,362442,115.4800033569336
1748592712.8313816,364607,107.97000122070312
1748592745.234707,366717,107.95999908447266
1748592777.6452413,368793,109.62000274658203
1748592815.4962568,371285,109.66999816894531
1748592847.4992843,373338,116.69999694824219
1748592881.7144387,375560,125.33999633789062
1748592915.4864213,377796,117.7300033569336
1748592947.514148,380001,119.48999786376953
1748592979.116294,382157,117.97000122070312
1748593010.1086164,384283,109.91999816894531
1748593041.8897018,386482,106.69000244140625
1748593073.9123101,388684,100.66000366210938
1748593104.6782534,390790,99.63999938964844
1748593136.2670693,392971,110.7699966430664
1748593168.9554102,395229,116.25
1748593199.9251828,397340,117.4000015258789
1748593230.912639,399465,120.30999755859375
1748593265.2297578,401853,129.97000122070312
1748593296.3629284,403990,129.8800048828125
1748593328.3699589,406200,131.3800048828125
1748593361.5371745,408510,127.54000091552734
1748593393.7617466,410735,121.83000183105469
1748593424.5546646,412854,122.75
1748593458.206471,415200,128.7100067138672
1748593491.121225,417508,138.74000549316406
1748593521.6137404,419613,130.25
1748593554.847301,421934,132.16000366210938
1748593587.2018151,424196,129.85000610351562
1748593623.5864046,426781,114.33000183105469
1748593655.108141,428953,93.4000015258789
1748593688.4848719,431250,89.52999877929688
1748593721.1517677,433521,89.4800033569336
1748593753.182001,435738,97.87999725341797
1748593784.3980124,437861,100.12000274658203
1748593814.9732804,439950,104.19000244140625
1748593845.7603664,442080,115.37000274658203
1748593877.7170074,444294,112.37999725341797
1748593908.1314685,446383,112.54000091552734
1748593939.3432379,448520,106.58999633789062
1748593971.3425758,450732,116.13999938964844
1748594007.8838894,453316,107.61000061035156
1748594039.6288185,455493,110.38999938964844
1748594073.767555,457876,115.80000305175781
1748594104.3770783,459966,115.70999908447266
1748594136.896597,462210,113.86000061035156
1748594168.598224,464332,107.66000366210938
1748594198.731674,466389,108.95999908447266
1748594230.83866,468592,92.47000122070312
1748594263.5506587,470847,81.0199966430664
1748594296.7492163,473161,83.01000213623047
1748594327.6479976,475282,79.0999984741211
1748594358.1387868,477372,84.56999969482422
1748594390.9399738,479635,87.87999725341797
1748594423.2834153,481847,82.94000244140625
1748594453.7708113,483934,85.45999908447266
1748594490.0238962,486509,84.36000061035156
1748594524.1880956,488894,81.91000366210938
1748594555.698867,491050,81.54000091552734
1748594586.6408665,493154,77.20999908447266
1748594620.0315146,495480,77.9000015258789
1748594652.0215673,497702,80.79000091552734
1748594686.627777,500114,86.16000366210938
