Wall time,Step,Value
1748769511.1261022,2048,512.0
1748769546.2293532,4096,512.0
1748769580.057497,6144,512.0
1748769614.546968,8192,512.0
1748769649.3911765,10305,468.4090881347656
1748769682.4987175,12353,475.1153869628906
1748769716.727922,14476,466.9677429199219
1748769752.6361737,16682,463.3888854980469
1748769791.1868393,19193,456.9761962890625
1748769826.3151848,21401,436.7550964355469
1748769858.7078846,23449,442.4339599609375
1748769894.4955795,25741,436.28814697265625
1748769933.1919012,28220,440.9375
1748769972.9747324,30789,439.8428649902344
1748770011.4504325,33109,441.4533386230469
1748770046.12856,35157,445.02532958984375
1748770086.1196358,37494,446.3571472167969
1748770121.398469,39656,445.5730285644531
1748770155.369963,41775,444.4148864746094
1748770190.0038712,43851,442.93939208984375
1748770229.295395,46181,441.3299865722656
1748770268.8647034,48575,439.6700134277344
1748770310.6860662,50994,438.260009765625
1748770345.8728344,53135,438.8699951171875
1748770385.4674478,55663,443.3399963378906
1748770424.7740126,58188,442.239990234375
1748770458.9558446,60296,441.260009765625
1748770492.4338775,62344,442.54998779296875
1748770530.0879338,64766,439.3900146484375
1748770563.6794949,66828,428.6700134277344
1748770598.881205,69004,422.3900146484375
1748770635.6447303,71352,410.75
1748770669.0743418,73432,408.3500061035156
1748770704.9663908,75707,373.5299987792969
1748770740.51718,77936,366.7300109863281
1748770775.2179384,80095,365.2200012207031
1748770811.777136,82392,362.1099853515625
1748770848.8384256,84739,356.5199890136719
1748770885.203122,87010,349.9200134277344
1748770922.0959682,89397,337.3399963378906
1748770955.8409624,91483,328.8900146484375
1748770992.4492147,93787,306.5899963378906
1748771027.140742,95940,305.2200012207031
1748771064.900715,98344,315.1600036621094
1748771099.9658115,100509,305.04998779296875
1748771135.6500685,102747,303.7099914550781
1748771170.1955194,104882,303.4599914550781
1748771204.8475666,107031,315.3900146484375
1748771242.3726845,109381,319.57000732421875
1748771280.9500668,111825,315.94000244140625
1748771316.0370936,113959,302.2799987792969
1748771350.0891798,116025,295.2699890136719
1748771384.9800777,118182,285.3500061035156
1748771419.900195,120303,286.9800109863281
1748771456.3201678,122528,295.82000732421875
1748771495.3655698,124978,304.3999938964844
1748771532.2497933,127273,289.2900085449219
1748771569.1906211,129546,296.82000732421875
1748771603.775408,131663,284.0400085449219
1748771638.1043444,133721,292.17999267578125
1748771673.9869127,135882,282.29998779296875
1748771714.5713444,138472,272.8399963378906
1748771750.1039739,140648,274.1000061035156
1748771784.5624132,142766,271.2200012207031
1748771819.5442665,144983,271.7900085449219
1748771855.6562803,147232,281.4200134277344
1748771889.8657727,149339,276.4200134277344
1748771928.1119971,151780,273.1400146484375
1748771966.8618536,154270,280.4599914550781
1748772001.090053,156362,282.5400085449219
1748772036.093493,158523,282.8800048828125
1748772071.0487895,160700,299.7699890136719
1748772108.2959142,163052,305.3900146484375
1748772146.3241513,165474,308.6499938964844
1748772184.1300359,167892,316.7799987792969
1748772218.526208,170021,320.1600036621094
1748772254.6058023,172287,322.6000061035156
1748772291.798945,174661,326.5199890136719
1748772330.0624464,177104,326.3699951171875
1748772363.1841195,179152,319.20001220703125
1748772399.7729201,181480,319.2200012207031
1748772434.4890327,183640,318.6000061035156
1748772471.6160402,186006,317.3599853515625
1748772508.8636608,188377,315.0299987792969
1748772547.9611592,190899,317.4800109863281
1748772582.9862342,193087,300.3500061035156
1748772617.5745995,195237,292.510009765625
1748772652.8711936,197440,286.5199890136719
1748772691.7579525,199923,281.4800109863281
1748772727.5012302,202154,280.04998779296875
1748772763.3463476,204346,286.1099853515625
1748772799.7517333,206564,286.7099914550781
1748772833.4326606,208612,294.6000061035156
1748772869.519612,210849,301.3500061035156
1748772907.770653,213264,308.8900146484375
1748772943.3062494,215454,305.0299987792969
1748772978.0925326,217585,304.3500061035156
1748773016.2166507,219968,311.82000732421875
1748773051.3658526,222106,317.19000244140625
1748773090.7197387,224593,324.25
1748773125.3736622,226686,330.19000244140625
1748773160.271594,228794,328.54998779296875
1748773197.946206,231130,329.1000061035156
1748773236.17447,233499,334.2200012207031
1748773272.1871529,235711,330.45001220703125
1748773309.1559944,237997,336.510009765625
1748773346.090674,240310,332.3399963378906
1748773381.5204394,242481,321.44000244140625
1748773418.9274404,244814,311.05999755859375
1748773453.5781505,246924,303.70001220703125
1748773489.925345,249175,303.2699890136719
1748773524.5090961,251298,303.07000732421875
